"province.name","year","province.code","iso.subdivisioncode","indec.prov.code","area","date.gov","date.gov2","pres.election","legis.election","senate.election","house.election","gov.name","gov.lastname","gov.firstname","gov.born","ltgov.lastname","ltgov.firstname","gov.party","gov.party.acronym","female_gov","female_ltgov","interrupted","gov.died","tenure.began","tenure.ended","tenure.expected","runner.up","winner.pct.1","runner.up.pct.1","margin.1","enp.gov.1","enp.gov.change","winner.pct.2","runner.up.pct.2","margin.2","enp.gov.2","incumbent","govelecrule","gov.minvotes","gov.altrule","gov.dsv","govelecrule_annotation","assembly.type","house.size","house.cycle","senate.size","senate.cycle","pj_Pres.votes.pct","pj.all_Pres.votes.pct","natHouse.seats","natHouse.magnitude","gdp.growth","gdp.growth_lag","gdp.growth_tenure","inflation","inflation_lag","inflation_tenure"
"BUENOS AIRES",1973,102,"AR-B",6,307581.7,1973-03-11,NA,1,1,1,1,"OSCAR RAUL BIDEGAIN","BIDEGAIN","OSCAR RAUL",1905,"CALABRO","VICTORIO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1974-01-24,1977-05-25,"UNION CIVICA RADICAL",52.6797546334923,20.3625229486147,32.3172316848776,2.96851634934343,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",92,"PARTIAL",46,"PARTIAL",-99,-99,70,NA,2.811754041,1.628416516,3.06939666709877,61.24907655,58.44588511,57.6737420082716
"CATAMARCA",1973,103,"AR-K",10,102098.9,1973-03-11,NA,1,1,1,0,"HUGO ALBERTO MOTT","MOTT","HUGO ALBERTO",1931,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"MOVIMIENTO POPULAR CATAMARQUEÑO",52.4135801736115,20.0947619669639,32.3188182066476,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",-99,"PARTIAL",16,"PARTIAL",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"CORDOBA",1973,104,"AR-X",14,165330,1973-03-11,1973-04-15,1,1,0,0,"RICARDO OBREGON CANO","OBREGON CANO","RICARDO",1917,"LOPEZ","HIPOLITO ATILIO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1974-02-28,1977-05-25,"UNION CIVICA RADICAL",44.202003856399,43.2297604724352,0.972243383963892,-99,-99,53.3308456011815,45.7500074456772,7.58083815550429,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",-99,"TOTAL",26,"PARTIAL",-99,-99,18,NA,2.811754041,1.628416516,3.37966382708633,61.24907655,58.44588511,53.368131127554
"CORRIENTES",1973,105,"AR-W",18,87810.5,1973-03-11,1973-04-15,1,1,0,0,"JULIO ROMERO","ROMERO","JULIO",1916,"DE BORGES SA","FRANCISCO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"PACTO AUTONOMISTA LIBERAL",40.9097356849024,37.4115403407569,3.4981953441455,2.99718123054129,-99,60.9742749844349,39.0257250155651,21.9485499688698,1.908080357119,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",26,"PARTIAL",13,"THIRDS",-99,-99,7,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"CHACO",1973,106,"AR-H",22,99560.1,1973-03-11,NA,1,1,0,1,"DEOLINDO FELIPE BITTEL","BITTEL","DEOLINDO FELIPE",1922,"TORRESAGASTI","ALBERTO SILVESTRE","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"UNION CIVICA RADICAL",57.6459171536655,27.864347392964,29.7815697607015,2.40530744181774,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",30,"PARTIAL",-88,".",-99,-99,7,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"CHUBUT",1973,107,"AR-U",26,221388.7,1973-03-11,1973-04-15,1,1,0,1,"BENITO FERNANDEZ","FERNANDEZ","BENITO",1919,"CAMPELO","ARTURO VICTOR","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"ACCION CHUBUTENSE",32.3525394922533,20.3614622376667,11.9910772545866,-99,-99,60.0799963220082,39.9200036779918,20.1599926440164,1.92188954582248,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",27,"TOTAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"ENTRE RIOS",1973,108,"AR-E",30,78787.2,1973-03-11,1973-04-15,1,1,0,0,"ENRIQUE TOMAS CRESTO","CRESTO","ENRIQUE TOMAS",1911,"BLANC","DARDO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"UNION CIVICA RADICAL",44.5014721367568,27.7044945283109,16.7969776084459,-99,-99,65.1295770423441,34.8704229576559,30.2591540846883,1.83223734292747,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",28,"TOTAL",15,"TOTAL",-99,-99,9,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"FORMOSA",1973,109,"AR-P",34,71639.5,1973-03-11,1973-04-15,1,1,0,0,"ANTENOR ARGENTINO GAUNA","GAUNA","ANTENOR ARGENTINO",1912,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1973-11-17,1977-05-25,"UNION CIVICA RADICAL",46.5148992734265,26.0198484907146,20.4950507827119,-99,-99,71.7807290960835,28.2192709039165,43.561458192167,1.68101120599466,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"PARTIAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.811754041,61.24907655,58.44588511,61.24907655
"JUJUY",1973,110,"AR-Y",38,53037.3,1973-03-11,NA,1,1,0,0,"CARLOS SNOPEK","SNOPEK","CARLOS",1914,"BENITEZ","ALFREDO LUIS","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"MOVIMIENTO POPULAR JUJEÑO",55.9015629632767,28.5958744546571,27.3056885086196,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"PARTIAL",-88,".",-99,-99,6,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"LA PAMPA",1973,111,"AR-L",42,145133.2,1973-03-11,1973-04-15,1,1,0,1,"AQUILES JOSE REGAZZOLI","REGAZZOLI","AQUILES JOSE",1907,"MARIN","RUBEN","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1976-03-24,1977-05-25,"MOVIMIENTO FEDERALISTA PAMPEANO",48.3040753397972,39.3073814745138,8.99669386528336,2.48026334468966,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"TOTAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"LA RIOJA",1973,112,"AR-F",46,90303,1973-03-11,NA,1,1,0,0,"CARLOS SAUL MENEM","MENEM","CARLOS SAUL",1930,"SANCHEZ","LIBARDO","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"UNION CIVICA RADICAL",57.4934123847167,29.061863696251,28.4315486884657,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"PARTIAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"MENDOZA",1973,113,"AR-M",50,148651.9,1973-03-11,1973-04-15,1,1,0,0,"ALBERTO MARTINEZ BACA","MARTINEZ BACA","ALBERTO",1906,"MENDOZA","CARLOS","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,0,1,0,1973-05-25,1974-06-05,1977-05-25,"DEMOCRATA",48.2524991690742,21.8707531825932,26.381745986481,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","BICAMERAL",48,"PARTIAL",38,"PARTIAL",-99,-99,10,NA,2.811754041,1.628416516,3.93686818732,61.24907655,58.44588511,45.6357460556
"MISIONES",1973,114,"AR-N",54,29758.7,1973-03-11,1973-04-15,1,1,0,0,"MIGUEL ANGEL ALTERACH","ALTERACH","MIGUEL ANGEL",1922,"NDA","NDA","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"UNION CIVICA RADICAL",36.9245900697815,26.7330499956925,10.191540074089,-99,-99,59.3274469284238,39.343054090377,19.9843928380468,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"PARTIAL",-88,".",-99,-99,7,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"NEUQUEN",1973,115,"AR-Q",58,93396.4,1973-03-11,1973-04-15,1,1,0,1,"FELIPE SAPAG","SAPAG","FELIPE",1917,"NDA","NDA","MOVIMIENTO POPULAR NEUQUINO","MPN",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"FRENTE JUSTICIALISTA DE LIBERACION",49.8045839957605,35.2444356120827,14.5601483836778,-99,-99,-99,-99,-99,-99,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"TOTAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
"RIO NEGRO",1973,116,"AR-R",62,206174.8,1973-03-11,NA,1,1,0,0,"MARIO JOSE FRANCO","FRANCO","MARIO JOSE",1923,".",".","FRENTE JUSTICIALISTA DE LIBERACION","FREJULI",0,9,1,0,1973-05-25,1976-03-24,1977-05-25,"PROVINCIAL RIONEGRINO",46.1039093184639,24.8316001546633,21.2723091638006,-99,-99,NA,NA,NA,NA,0,"ABSOLUTE MAJORITY",50,0,0,"rules mandated by the military regime, 1966-73","UNICAMERAL",-99,"TOTAL",-88,".",-99,-99,5,NA,2.811754041,1.628416516,2.38193533367764,61.24907655,58.44588511,121.646236462391
