"last.name","first.name","id","twitter.account","name","verified","protected","followersCount","friendsCount","statusesCount","url","location","description","last.update","created"
"Arrington","Jodey","3609064098","JodeyArrington","Jodey Arrington",FALSE,FALSE,2197,867,522,"https://t.co/z4HsfqGtjR","Lubbock, TX","The campaign account for Congressman Jodey Arrington. Building a better West Texas - Fighting for the future of America.",2017-12-17,2015-09-18
"Arrington","Jodey","816284664658874368","RepArrington","Rep. Arrington",TRUE,FALSE,3562,1164,502,"https://t.co/DZziBJQejF","West Texas","Proudly representing the good people of West Texas in Congress.",2018-01-11,2017-01-03
"Babin","Brian","2929491549","RepBrianBabin","Brian Babin",TRUE,FALSE,8435,645,2275,"https://t.co/tJRjOi3OmN","","Honored to serve citizens of #TX36 in U.S. Congress. Chairman of @HouseScience Space Subcommittee and Member of House @Transport Committee.",2018-01-11,2014-12-18
"Barton","Joe L.","19929362","RepJoeBarton","Joe Barton",TRUE,FALSE,28271,328,2080,"http://t.co/UcrfIiWGdl","Ennis, TX","I work for the people of the 6th District of Texas and am honored to represent them in Washington.",2017-11-15,2009-02-02
"Brady","Kevin","19926675","RepKevinBrady","RepKevinBrady",TRUE,FALSE,33702,713,10966,"http://t.co/Lg0O7I6yn9","The Woodlands, Texas","Dad. Husband. Chairman of @WaysandMeansGOP. Deputy Whip. Loves: Baseball and Texas.",2018-01-11,2009-02-02
"Burgess","Michael","15751083","michaelcburgess","Michael Burgess, MD",TRUE,FALSE,25811,1804,4899,"http://t.co/qj3aLBJUa9","Washington, DC/Lake Dallas, TX","Congressman for Texas' 26th District, M.D. (Ob/Gyn) in my former life",2018-01-11,2008-08-06
"Carter","John R.","81139286","RepJohnCarter","John Carter",FALSE,FALSE,1177,52,1481,"http://t.co/bpmfOGdsxm","Round Rock, Texas","Congressman for the 31st District of Texas. Former Judge in Williamson County.",2014-11-13,2009-10-09
"Carter","Stefani","89659082","stefani_carter","Stefani Carter",FALSE,FALSE,2360,17,992,,"","",2014-03-13,2009-11-13
"Castro","Joaquin","231510077","JoaquinCastrotx","Joaquin Castro",TRUE,FALSE,95502,1168,9954,"http://t.co/SBuEnv1k","San Antonio, Texas","Texas Congressman, Member of the House Foreign Affairs and House Intelligence Committees",2018-01-11,2010-12-28
"Conaway","Mike","295685416","ConawayTX11","Mike Conaway",TRUE,FALSE,11503,1441,743,"https://t.co/cm0zGBQaLP","","Proud to serve the 11th Congressional District of Texas. Chairman of @HouseAgNews, Member of @HASCRepublicans & #HPSCI.",2018-01-11,2011-05-09
"Cornyn","John","13218102","JohnCornyn","Senator John Cornyn",TRUE,FALSE,124154,11346,25888,"https://t.co/XHRaiulrt6","Austin, Texas","Personally curated news I find interesting, pics, and occasional opinions. Honored to represent the great state of Texas in the US Senate.",2018-01-12,2008-02-07
"Cruz","Ted","1074480192","SenTedCruz","Senator Ted Cruz",TRUE,FALSE,1064683,7391,7254,"https://t.co/9HWCyvKunh","Houston, Texas","Representing the State of Texas in the United States Senate.",2018-01-11,2013-01-09
"Cruz","Ted","23022687","tedcruz","Ted Cruz",TRUE,FALSE,3163528,6581,20288,"https://t.co/dJ4Q3979gw","Houston, Texas","Father of two, @heidiscruz's husband, fighter for liberty. Representing the great state of Texas in the U.S. Senate.",2018-01-11,2009-03-06
"Cuellar","Henry","210926192","RepCuellar","Rep. Henry Cuellar",TRUE,FALSE,20522,2086,4635,"http://t.co/rZ3u1gyJo5","Laredo, Texas / Washington DC","Serving the 28th District of Texas in U.S. House of Representatives",2018-01-11,2010-11-01
"Culberson","John","24183358","CongCulberson","John Culberson",TRUE,FALSE,14965,928,2530,"https://t.co/wymw0f4Inl","Houston, TX","Proud father, happy husband, Jeffersonian Republican. TX Congressman.",2018-01-11,2009-03-13
"Doggett","Lloyd","153944899","RepLloydDoggett","Lloyd Doggett",TRUE,FALSE,28723,375,4431,"http://t.co/ukPGmJS3hB","Texas","Representing communities from San Antonio to Austin.",2018-01-11,2010-06-09
"Farenthold","Blake","17896154","farenthold","Blake Farenthold",TRUE,FALSE,21771,1038,6569,"http://t.co/pkXZtbphWU","Corpus Christi, TX","Proudly serving Texas' 27th Congressional District. @GOPoversight @HouseJudiciary @Transport",2018-01-11,2008-12-05
"Flores","Bill","237312687","RepBillFlores","Rep. Bill Flores",TRUE,FALSE,16402,3192,7294,"http://t.co/KhFWx7QKwG","17th District of Texas","I am working hard for Texas families in District 17 to rebuild our national security, improve economic opportunity, and protect our Constitutional liberties.",2018-01-12,2011-01-12
"Gallego","Pete","1072453910","PeteGallegoTX","Pete Gallego",FALSE,FALSE,4374,752,2602,"https://t.co/42ijqS90Y6","San Antonio, TX","Served on House Armed Services and Agriculture Committees while representing #TX23. Dad. Husband. Attorney. Sul Ross State & UT Law grad. #HookEm",2018-01-11,2013-01-09
"Gohmert","Louie","22055226","replouiegohmert","Louie Gohmert",TRUE,FALSE,92216,668,6230,"http://t.co/dvOOcVB1hy","","Member of Congress, representing the first district of Texas which encompasses over 12 counties stretching nearly 120 miles down the eastern border of Texas.",2018-01-12,2009-02-26
"Gonzalez","Vicente","818536152588238848","RepGonzalez","Rep.Vicente Gonzalez",TRUE,FALSE,1448,182,377,"https://t.co/SR7eieBdVD","","Proudly representing the 15th District of Texas in U.S. Congress   #TX15GettingItRight",2018-01-11,2017-01-09
"Gonzalez","Naomi","121824417","votenaomi","Naomi Gonzalez",FALSE,FALSE,406,2,55,"http://t.co/YscX8QfTVT","El Paso, Texas","I am running for State Rep. in HD 76, in El Paso, Texas.",2010-05-03,2010-03-10
"Granger","Kay","161743731","RepKayGranger","Rep. Kay Granger",TRUE,FALSE,16154,1137,1490,"http://t.co/oe3M6Ag5hD","Texas ","Congresswoman Kay Granger represents the 12th District of Texas. She is the Chairwoman of the House Appropriations Defense Subcommittee.",2017-12-25,2010-07-01
